state,avg_income_2003,avg_income_2013
Andhra Pradesh,1634,5979
Arunachal Pradesh,7455,10869
Assam,3161,6695
Bihar,1810,3558
Chhattisgarh,1618,5177
Gujarat,2684,7926
Haryana,2882,14434
Himachal Pradesh,3309,8777
Jammu & Kashmir,5488,12683
Jharkhand,2069,4721
Karnataka,2616,8832
Kerala,4004,11888
Madhya Pradesh,1430,6210
Maharashtra,2463,7386
Manipur,2741,8842
Meghalaya,4496,11792
Mizoram,4862,9099
Nagaland,3590,10048
Odisha,1062,4976
Punjab,4960,18059
Rajasthan,1498,7350
Sikkim,3258,6798
Tamil Nadu,2072,6980
Telangana,1634,6311
Tripura,1742,5429
Uttarakhand,3351,4701
Uttar Pradesh,1633,4923
West Bengal,2079,3980
Group of UTs,3235,8568
