sl__no_,state_ut,total_registrations
1,Andaman and Nicobar Islands,30760
2,Andhra Pradesh,8054908
3,Arunachal Pradesh,145544
4,Assam,7130768
5,Bihar,29006881
6,Chandigarh,177914
7,Chhattisgarh,8400147
8,Delhi,3339123
9,Goa,66778
10,Gujarat,11529761
11,Haryana,5294824
12,Himachal Pradesh,1954389
13,Jammu and Kashmir,3435986
14,Jharkhand,9297840
15,Karnataka,7990074
16,Kerala,5946202
17,Ladakh,31932
18,Lakshadweep,2516
19,Madhya Pradesh,17448508
20,Maharashtra,14170654
21,Manipur,432085
22,Meghalaya,309603
23,Mizoram,63283
24,Nagaland,221017
25,Odisha,13372127
26,Puducherry,183572
27,Punjab,5588321
28,Rajasthan,13513657
29,Sikkim,37728
30,Tamil Nadu,8558391
31,Telangana,4319168
32,Dadra and Nagar Haveli and Daman and Diu,73548
33,Tripura,865763
34,Uttar Pradesh,83349947
35,Uttarakhand,3006609
36,West Bengal,26201520
Total,Total,293551848
